Scenario,Year,ghg,lcspe,fed,esfe,co2elc,ccsfos,nonnrg
necfcng,2020,52.1920178777015,0.18000000651630702,396.4624359120018,0.18713208678397172,509.2065159405866,0,17.002095611054305
necfcng,2030,34.40025270815266,0.3443281146227057,405.90440592948005,0.153131936276343,100.15220509234501,0.20483575981325408,10.596919989933099
necfcng,2040,27.38849005903814,0.5795741329640092,377.0686337453595,0.16284284095481222,2.490942424045942,1.6665322756805856,7.196310038280853
necfcng,2050,23.645413774051203,0.7437139528996896,389.3210468854443,0.20296612972826625,-5.547287231610588,2.2064990182177278,5.078700060612342
necfcng,2060,21.782030342626456,0.8214979184209039,395.9825042997009,0.23877809446426396,-7.1953229428677465,2.8392229903556387,4.947030065459169
necfcng,2070,20.845244769262806,0.8257044071235656,402.2812633785368,0.287107489214881,-6.540129705820165,3.3296660683773798,4.6609200265115485
necfcng,2080,21.31452599219355,0.8316579565683295,425.8130256646256,0.26921286446214204,-4.494729289448518,3.2246939302485043,3.6095400464696987
necfcng,2090,20.290920291888682,0.840963752008182,457.26534934188567,0.2360291274213744,-3.6876517451590263,3.2704896181934697,3.158100130077423
necfcng,2100,17.065676299528093,0.8507318036896785,424.1607225439711,0.24206810144919572,-4.372924345557843,3.056781701658488,2.3463002348609434
nesec,2020,52.1920008966819,0.18000000150716494,394.124333671879,0.18947774186406172,501.3537915438986,0,17.07638314811087
nesec,2030,35.71802853915766,0.34432816613199985,373.5568705645436,0.26321111535376274,100.15222279588046,0.2153689513667417,11.679585403903252
nesec,2040,26.140636661351255,0.5795741245576439,346.8986419267397,0.39526290881260356,2.5412484882387556,1.4028289063846013,6.801574492699055
nesec,2050,18.74320009033421,0.7437139523983175,337.6936220529126,0.513537338010744,-5.547291757416176,2.2319198828892195,3.8107957893608915
nesec,2060,13.127387664154188,0.8214979174974237,339.0793233982488,0.5743469721014522,-7.1953174447589445,2.6914964838940785,1.8751156412457206
nesec,2070,12.332854680579814,0.8257044028257658,352.3796263564318,0.6113279204621412,-6.5401366489393045,3.037667261947766,1.0234219248301608
nesec,2080,12.02993956333761,0.8316579445293959,368.78388340505313,0.6392223379556433,-4.494744843066692,2.793314676603177,0.0009708895092973425
nesec,2090,12.973648474806273,0.8409637373107354,400.9947363793989,0.6472805530819474,-3.6146947048183082,1.5355543646273815,-0.06776294414711813
nesec,2100,10.809835490843373,0.8507317694203091,366.5958962331739,0.655156327890668,-4.372969142963495,0.8240109789542012,-1.1536061233852997
nesecfcng,2020,52.19199999996479,0.1799999996819251,394.78133043587036,0.1894846165046302,500.4312378794924,0,17.057794268508225
nesecfcng,2030,34.830827476960486,0.3443281673305826,367.78946467590777,0.2631771655708681,100.15222573548961,0.22132860782933825,10.596919999990085
nesecfcng,2040,26.904555863785315,0.5795741225127334,348.23788571897296,0.39527584714071745,2.5412489450058766,1.6665321628692038,7.196310000014774
nesecfcng,2050,20.910425334219898,0.7437139521593873,345.292422881315,0.511256547433283,-5.547293866837743,2.2064853484617615,5.078700000002074
nesecfcng,2060,18.056082372251122,0.8214979170199201,357.09215496488287,0.5680005833623952,-7.195336371420575,2.8392190895357157,4.9470300000315675
nesecfcng,2070,18.344833949451864,0.8257044020152061,378.8087763561388,0.6117070611673235,-6.540141946018177,3.3296610607933443,4.660919999992746
